statefip,stateName,stateabbrev,area,MSAname,countyfip,township,county_town_name,county_town_BLSname
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,023,520,Perkins unorganized,Perkins unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,178,Perkins unorganized,Perkins unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,685,Perry town,Perry town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,338,Peru town,Peru town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,154,Phillips town,Phillips town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,023,515,Phippsburg town,Phippsburg town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,597,Pierce Pond unorganized,Pierce Pond unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,548,Pittsfield town,Pittsfield town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,598,Pittston Academy Grant unorganized,Pittston Academy Grant unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,251,Pittston town,Pittston town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,697,Pleasant Point State Indian Res,Pleasant Point State Indian Res
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,549,Pleasant Ridge plantation,Pleasant Ridge plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,427,Plymouth town,Plymouth town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,599,Plymouth unorganized,Plymouth unorganized
23,Maine,ME,74650,"Lewiston-Auburn, ME",001,011,Poland town,Poland town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,066,Portage Lake town,Portage Lake town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,339,Porter town,Porter town
23,Maine,ME,76750,"Portland-South Portland, ME",005,126,Portland city,Portland city
23,Maine,ME,76750,"Portland-South Portland, ME",005,127,Pownal town,Pownal town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,428,Prentiss plantation,Prentiss plantation
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,600,Prentiss unorganized,Prentiss unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,067,Presque Isle city,Presque Isle city
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,686,Princeton town,Princeton town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,027,636,Prospect town,Prospect town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,496,Rainbow unorganized,Rainbow unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,252,Randolph town,Randolph town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,156,Rangeley plantation,Rangeley plantation
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,155,Rangeley town,Rangeley town
23,Maine,ME,76750,"Portland-South Portland, ME",005,128,Raymond town,Raymond town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,011,253,Readfield town,Readfield town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,104,Red Point City or Sinclair unorganized,Red Point City or Sinclair unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,007,179,Redington unorganized,Redington unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,003,068,Reed plantation,Reed plantation
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,019,454,Remaining unorganized territory,Remaining unorganized territory
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,508,Remaining unorganized townships,Remaining unorganized townships
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,365,Richardsontown unorganized,Richardsontown unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,023,516,Richmond town,Richmond town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,017,366,Riley unorganized,Riley unorganized
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,025,550,Ripley town,Ripley town
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,021,503,Ripogenus unorganized,Ripogenus unorganized
23,Maine,ME,2300001,Northeast Maine nonmetropolitan area,029,687,Robbinston town,Robbinston town
23,Maine,ME,2300002,Southwest Maine nonmetropolitan area,013,279,Rockland city,Rockland city
